JIS文字,カード番号,字体数,用例数1,用例数2,用例数3,用例数4,用例数5,大字典,大漢和,部首
襞,0646,0,,,,,,10791,M34645,145
襲,0647,0,,,,,,10806,M34717,145
覆,0648,0,,,,,,10826,M34789,146
規,0649,0,,,,,,10833,M34810,147
覲,0650,0,,,,,,10852,M34952,147
角,0651,0,,,,,,10860,M35003,148
解,0652,1,2,,,,,10875,M35067,148
10877,0653,0,,,,,,10877,M35079,148
10884,0654,0,,,,,,10884,M35158,148
計,0655,0,,,,,,10896,M35220,149
訊,0656,0,,,,,,10897,M35224,149
記,0657,0,,,,,,10914,M35244,149
訛,0658,0,,,,,,10916,M35256,149
許,0659,0,,,,,,10930,M35298,149
10943,0660,0,,,,,,10943,M35344,149
10971,0661,0,,,,,,10971,M35410,149
詭,0662,0,,,,,,10982,M35434,149
誇,0663,0,,,,,,11000,M35474,149
説,0664,0,,,,,,11025,M35556,149
11015,0665,0,,,,,,11015,M35528,149
調,0666,0,,,,,,11038,M35609,149
論,0667,0,,,,,,11058,M35658,149
諜,0668,0,,,,,,11063,M35697,149
諧,0669,0,,,,,,11073,M35718,149
諫,0670,0,,,,,,11074,M35724,149
諸,0671,0,,,,,,11085,M35743,149
謁,0672,0,,,,,,11094,M35757,149
謂,0673,0,,,,,,11095,M35759,149
謙,0674,0,,,,,,11117,M35821,149
警,0675,0,,,,,,11185,M36009,149
豁,0676,0,,,,,,11247,M36221,150
11280,0677,0,,,,,,11280,M36404,152
11288,0678,0,,,,,,11288,M36448,152
貉,0679,0,,,,,,11308,M36549,153
財,0681,0,,,,,,11334,M36664,154
貧,0682,0,,,,,,11338,M36677,154
貫,0683,0,,,,,,11343,M36681,154
貯,0684,0,,,,,,11349,M36698,154
貴,0685,0,,,,,,11355,M36704,154
費,0686,0,,,,,,11359,M36717,154
賁,0687,0,,,,,,11366,M36727,154
賢,0688,0,,,,,,11397,M36822,154
質,0689,0,,,,,,11404,M36833,154
頼,0690,0,,,,,,11411,M36861,154
贍,0691,0,,,,,,11433,M36945,154
赤,0692,0,,,,,,11445,M36993,155
赫,0693,0,,,,,,11451,M37010,155
赴,0694,0,,,,,,11457,M37040,156
起,0695,0,,,,,,11461,M37048,156
越,0696,0,,,,,,11471,M37110,156
趙,0697,0,,,,,,11479,M37171,156
趣,0698,0,,,,,,11485,M37207,156
11492x,0699,0,,,,,,11492x,M37308,156
11509,0700,0,,,,,,11509,M37434,157
跋,0701,0,,,,,,11515,M37446,157
跖,0702,0,,,,,,11526,M37469,157
跳,0703,0,,,,,,11553,M37533,157
踐,0704,0,,,,,,11569,M37608,157
11572,0705,0,,,,,,11572,M37617,157
11586,0706,0,,,,,,11586,M37648,157
蹂,0707,0,,,,,,11608,M37718,157
蹇,0708,0,,,,,,11616,M37741,157
蹕,0709,0,,,,,,11628,M37783,157
蹙,0710,0,,,,,,11631,M37790,157
蹤,0711,0,,,,,,11646,M37823,157
蹠,0712,0,,,,,,11641,M37815,157
蹲,0713,0,,,,,,11662,M37874,157
蹴,0714,0,,,,,,11665,M37876,157
躍,0715,0,,,,,,11689,M37955,157
軋,0716,0,,,,,,11741,M38173,159
軌,0717,0,,,,,,11744,M38176,159
11754,0718,0,,,,,,11754,M38190,159
11766,0719,0,,,,,,11766,M38239,159
11771,0720,0,,,,,,11771,M38248,159
輜,0721,0,,,,,,11814,M38368,159
輟,0722,0,,,,,,11817,M38374,159
輪,0723,0,,,,,,11827,M38400,159
輻,0724,0,,,,,,11844,M38442,159
轂,0725,0,,,,,,11849,M38479,159
11850,0726,0,,,,,,11850,M38481,159
轄,0727,0,,,,,,11851,M38482,159
11884,0728,0,,,,,,11884,M38584,159
轤,0729,0,,,,,,11889,M38596,159
辰,0730,0,,,,,,11917,M38682,161
11961,0731,0,,,,,,11961,M38791,162
追,0732,0,,,,,,11979,M38836,162
11980,0733,0,,,,,,11980,M38837,162
退,0734,0,,,,,,11982,M38839,162
逑,0736,0,,,,,,11994,M38878,162
途,0737,0,,,,,,11995,M38882,162
逝,0738,0,,,,,,12001,M38895,162
逢,0739,0,,,,,,12009,M38901,162
進,0740,0,,,,,,12022,M38943,162
逶,0741,0,,,,,,12025,M38949,162
逸,0742,0,,,,,,12027,M38951,162
遮,0743,0,,,,,,12083,M39086,162
遷,0744,0,,,,,,12093,M39123,162
選,0745,0,,,,,,12095,M39127,162
遽,0746,0,,,,,,12102,M39161,162
邁,0747,0,,,,,,12105,M39169,162
邇,0748,0,,,,,,12112,M39193,162
12156,0749,0,,,,,,12156,M39380,163
部,0750,0,,,,,,12176,M39460,163
鄂,0751,0,,,,,,12194,M39520,163
郷,0752,0,,,,,,12205,M39571,163
12256,0753,0,,,,,,12256,M39749,163
酷,0754,0,,,,,,12301,M39870,164
醇,0755,0,,,,,,12312,M39901,164
采,0756,0,,,,,,12367,M40116,165
金,0757,0,,,,,,12380,M40152,167
12397,0758,0,,,,,,12397,M40187,167
鋪,0759,0,,,,,,12494,M40491,167
録,0760,0,,,,,,12499,M40519,167
錫,0761,0,,,,,,12526,M40573,167
鎬,0762,0,,,,,,12585,M40741,167
鎭,0763,0,,,,,,12587,M40744,167
12599,0764,0,,,,,,12599,M40784,167
鑠,0765,0,,,,,,12674,M41019,167
閉,0766,0,,,,,,12714,M41222,169
12717,0767,0,,,,,,12717,M41239,169
12719,0768,0,,,,,,12719,M41241,169
閣,0769,0,,,,,,12739,M41300,169
閨,0770,0,,,,,,12744,M41312,169
12748,0771,0,,,,,,12748,M41329,169
閭,0772,0,,,,,,12750,M41334,169
12753,0773,0,,,,,,12753,M41367,169
閼,0774,0,,,,,,12758,M41380,169
12759,0775,0,,,,,,12759,M41383,169
闇,0776,0,,,,,,12768,M41421,169
12770,0777,0,,,,,,12770,M41428,169
12789,0778,0,,,,,,12789,M41468,169
阨,0779,0,,,,,,12815,M41559,170
12824,0780,0,,,,,,12824,M41591,170
12875,0781,0,,,,,,12875,M41724,170
陜,0782,0,,,,,,12849,M41656,170
隅,0783,0,,,,,,12883,M41743,170
隊,0784,0,,,,,,12889,M41750,170
隕,0785,0,,,,,,12899,M41785,170
隗,0786,0,,,,,,12901,M41788,170
12923,0787,0,,,,,,12923,M41849,170
隨,0788,0,,,,,,12927,M41871,170
雅,0789,0,,,,,,12962,M41973,172
雌,0790,0,,,,,,12971,M41998,172
雎,0791,0,,,,,,12973,M42001,172
雙,0792,0,,,,,,12994,M42116,172
難,0793,0,,,,,,13002,M42145,172
零,0794,0,,,,,,13022,M42242,173
霄,0795,0,,,,,,13032,M42290,173
13033,0796,0,,,,,,13033,M42296,173
霍,0797,0,,,,,,13041,M42321,173
霜,0798,0,,,,,,13052,M42363,173
霧,0799,0,,,,,,13063,M42418,173
靖,0800,0,,,,,,13098,M42570,174
13101,0801,0,,,,,,13101,M42575,174
13305,0802,0,,,,,,13305,M43357,181
頗,0803,0,,,,,,13325,M43415,181
頡,0804,0,,,,,,13335,M43452,181
頤,0805,0,,,,,,13337,M43455,181
13369,0806,0,,,,,,13369,M43557,181
顏,0807,0,,,,,,13380,M43591,181
13385,0808,0,,,,,,13385,M43600,181
顛,0809,0,,,,,,13395,M43628,181
飆,0810,0,,,,,,13486,M43963,182
飮,0811,0,,,,,,13526,M44063,184
飾,0812,0,,,,,,13542,M44111,184
餉,0813,0,,,,,,13549,M44140,184
餔,0814,0,,,,,,13561,M44173,184
饒,0815,0,,,,,,13641,M44400,184
香,0816,0,,,,,,13667,M44518,186
13711,0817,0,,,,,,13711,M44638,187
13772,0818,0,,,,,,13772,M44776,187
13818,0819,0,,,,,,13818,M44912,187
騷,0820,0,,,,,,13826,M44935,187
騾,0821,0,,,,,,13832,M44957,187
13834,0822,0,,,,,,13834,M44982,187
驚,0823,0,,,,,,13852,M45029,187
13856,0824,0,,,,,,13856,M45046,187
驢,0825,0,,,,,,13864,M45069,187
髢,0826,0,,,,,,13948,M45363,190
鬻,0827,0,,,,,,14057,M45721,193
魁,0828,0,,,,,,14066,M45785,194
魄,0829,0,,,,,,14072,M45810,194
魅,0830,0,,,,,,14073,M45811,194
14095,0831,0,,,,,,14095,M45925,194
魯,0832,0,,,,,,14116,M46013,195
鮮,0833,0,,,,,,14174,M46133,195
鳧,0834,0,,,,,,14365,M46643,196
鳩,0835,0,,,,,,14366,M46648,196
雁,0836,0,,,,,,12957,M41960,172
14448,0837,0,,,,,,14448,M46870,196
鵝,0838,0,,,,,,14473,M46954,196
鵲,0839,0,,,,,,14488,M47014,196
14553,0840,0,,,,,,14553,M47267,196
14564,0841,0,,,,,,14564,M47307,196
鷺,0842,0,,,,,,14582,M47362,196
監,0843,0,,,,,,07781,M23032,108
鹿,0844,0,,,,,,14621,M47586,198
麓,0845,0,,,,,,14643,M47658,198
默,0846,0,,,,,,14720,M48063,203
黨,0847,0,,,,,,14730,M48132,203
14754,0848,0,,,,,,14754,M48261,205
14758,0849,0,,,,,,14758,M48274,205
14767,0850,0,,,,,,14767,M48306,205
鼎,0851,0,,,,,,14769,M48315,206
鼓,0852,0,,,,,,14775,M48330,207
鼻,0853,0,,,,,,14809,M48498,209
三,0854,1,18,,,,,00007,M00012,001
上,0855,1,22,,,,,00008,M00013,001
下,0856,1,15,,,,,00009,M00014,001
不,0857,1,36,,,,,00013,M00019,001
丘,0858,1,5,,,,,00026,M00033,001
中,0859,1,10,,,,,00051,M00073,002
乃,0860,1,4,,,,,00078,M00113,004
之,0861-0864,1,177,,,,,00088,M00125,004
乎,0865,1,10,,,,,00092,M00131,004
乘,0866,1,9,,,,,00102,M00154,004
九,0867,1,6,,,,,00107,M00167,005
也,0868,1,13,,,,,00109,M00171,005
亂,0869,1,3,,,,,00121,M00214,005
事,0870,1,5,,,,,00128,M00241,006
二,0871,1,3,,,,,00129,M00247,007
于,0872,1,5,,,,,00132,M00252,007
云,0873,1,2,,,,,00133,M00254,007
五,0874,1,9,,,,,00135,M00257,007
亦,0875,1,2,,,,,00154,M00293,008
交,0876,1,2,,,,,00152,M00291,008
人,0877,1,3,,,,,00168,M00344,009
仁,0878,1,3,,,,,00170,M00349,009
介,0879,1,2,,,,,00176,M00359,009
以,0880-0881,1,65,,,,,00194,M00388,009
伊,0882,1,2,,,,,00213,M00432,009
似,0883,1,2,,,,,00235,M00485,009
伯,0884,1,3,,,,,00228,M00466,009
何,0885,1,10,,,,,00250,M00511,009
徊,0886,1,3,,,,,03136,M10095,060
使,0887,1,5,,,,,00279,M00573,009
來,0888,1,4,,,,,00282,M00581,009
侈,0889,1,3,,,,,00284,M00583,009
00293,0890,1,2,,,,,00293,M00597,009
侖,0891,1,2,,,,,00294,M00599,009
侯,0892,1,2,,,,,00313,M00633,009
信,0893,1,3,,,,,00345,M00707,009
倫,0894,1,4,,,,,00391,M00793,009
偈,0895,1,2,,,,,00406,M00836,009
作,0896,1,2,,,,,00256,M00518,009
00424,0897,1,2,,,,,00424,M00888,009
00466,0898,1,3,,,,,00466,M01013,009
傾,0899,1,2,,,,,00475,M01038,009
僑,0900,1,2,,,,,00490,M01088,009
儀,0901,1,2,,,,,00516,M01172,009
儲,0902,1,6,,,,,00546,M01284,009
先,0903,1,5,,,,,00566,M01349,010
光,0904,1,11,,,,,00567,M01350,010
入,0905,1,5,,,,,00582,M01415,011
内,0906,1,2,,,,,00585,M01418,011
八,0907,1,5,,,,,00594,M01450,012
公,0908,1,4,,,,,00596,M01452,012
六,0909,1,4,,,,,00597,M01453,012
共,0910,1,3,,,,,00599,M01458,012
其,0911,1,40,,,,,00605,M01472,012
出,0912,1,5,,,,,00723,M01811,017
列,0913,1,7,,,,,00754,M01901,018
制,0914,1,2,,,,,00776,M01961,018
則,0915,1,9,,,,,00789,M01994,018
前,0916,1,6,,,,,00794,M02011,018
創,0917,1,3,,,,,00824,M02127,018
功,0918,1,4,,,,,00857,M02295,019
動,0919,1,4,,,,,00887,M02390,019
勤,0920,1,3,,,,,00900,M02424,019
北,0921,1,7,,,,,00941,M02574,021
十,0922,1,5,,,,,00985,M02695,024
千,0923,1,4,,,,,00987,M02697,024
半,0924,1,3,,,,,00994,M02707,024
協,0925,1,2,,,,,01007,M02742,024
南,0926,1,10,,,,,01010,M02750,024
卷,0927,1,2,,,,,01040,M02860,026
原,0928,1,3,,,,,01074,M02973,027
01095,0929,1,2,,,,,01095,M03041,027
去,0930,1,2,,,,,01101,M03070,028
又,0931,1,5,,,,,01108,M03115,029
及,0932,1,3,,,,,01111,M03118,029
反,0933,1,2,,,,,01116,M03127,029
可,0934,1,4,,,,,01154,M03245,030
司,0935,1,3,,,,,01163,M03257,030
各,0936,1,2,,,,,01168,M03281,030
合,0937,1,2,,,,,01170,M03287,030
同,0938,1,2,,,,,01174,M03294,030
后,0939,1,5,,,,,01176,M03298,030
吾,0940,1,6,,,,,01217,M03379,030
周,0941,1,15,,,,,01235,M03441,030
命,0942,1,4,,,,,01252,M03473,030
咸,0943,1,3,,,,,01288,M03563,030
哉,0944,1,4,,,,,01305,M03596,030
01505,0945,1,2,,,,,01505,M04306,030
嚴,0946,1,2,,,,,01581,M04589,030
四,0947,1,2,,,,,01607,M04682,031
因,0948,1,5,,,,,01611,M04693,031
固,0949,1,3,,,,,01627,M04745,031
囿,0950,1,10,,,,,01630,M04756,031
圃,0951,1,2,,,,,01633,M04774,031
國,0952,1,2,,,,,01639,M04798,031
土,0953,1,6,,,,,01654,M04867,032
在,0954,1,2,,,,,01659,M04881,032
地,0955,1,13,,,,,01666,M04890,032
堅,0956,1,2,,,,,01767,M05210,032
増,0957,1,3,,,,,01853,M05454,032
壇,0958,1,2,,,,,01878,M05528,032
壘,0959,1,2,,,,,01890,M05574,032
士,0960,1,2,,,,,01903,M05638,033
壹,0961,1,3,,,,,01909,M05661,033
夏,0962,1,5,,,,,01927,M05720,035
外,0963,1,5,,,,,01934,M05750,036
夢,0964,1,2,,,,,01943,M05802,036
大,0965,1,10,,,,,01946,M05831,037
天,0966,1,37,,,,,01947,M05833,037
夫,0967,1,11,,,,,01949,M05835,037
奉,0968,1,2,,,,,01974,M05894,037
奏,0969,1,2,,,,,01981,M05915,037
奔,0970,1,3,,,,,01986,M05921,037
奚,0971,1,3,,,,,01992,M05930,037
奢,0972,1,3,,,,,02006,M05964,037
女,0973,1,8,,,,,02022,M06036,038
好,0974,1,2,,,,,02029,M06053,038
如,0975,1,7,,,,,02031,M06060,038
妃,0976,1,5,,,,,02032,M06061,038
妙,0977,1,2,,,,,02045,M06090,038
始,0978,1,2,,,,,02069,M06166,038
姓,0979,1,2,,,,,02077,M06178,038
委,0980,1,2,,,,,02078,M06181,038
威,0981,1,4,,,,,02105,M06259,038
02130,0982,1,2,,,,,02130,M06341,038
嬰,0983,1,3,,,,,02248,M06828,038
子,0984,1,5,,,,,02262,M06930,039
孝,0985,1,2,,,,,02273,M06952,039
季,0986,1,2,,,,,02276,M06965,039
孫,0987,1,2,,,,,02282,M06987,039
安,0988,1,2,,,,,02309,M07072,040
02320,0989,1,5,,,,,02320,M07098,040
宗,0990,1,2,,,,,02322,M07106,040
宜,0991,1,2,,,,,02327,M07111,040
客,0992,1,2,,,,,02331,M07128,040
室,0993,1,3,,,,,02332,M07136,040
宣,0994,1,2,,,,,02333,M07132,040
容,0995,1,5,,,,,02352,M07172,040
宿,0996,1,2,,,,,02355,M07195,040
宮,0997,1,14,,,,,02342,M07156,040
封,0998,1,3,,,,,02420,M07426,041
尚,0999,1,2,,,,,02446,M07493,042
尤,1000,1,2,,,,,02456,M07543,043
屈,1001,1,3,,,,,02485,M07669,044
屏,1002,1,2,,,,,02499,M07734,044
履,1003,1,2,,,,,02508,M07799,044
屬,1004,1,5,,,,,02515,M07821,044
山,1005,1,12,,,,,02528,M07869,046
岐,1006,1,2,,,,,02540,M07936,046
岳,1007,1,2,,,,,02559,M08001,046
崇,1008,1,8,,,,,02607,M08152,046
02717,1009,1,2,,,,,02717,M08487,046
嶢,1010,1,3,,,,,02719,M08491,046
02745,1011,1,5,,,,,02745,M08613,046
巒,1012,1,5,,,,,02754,M08640,046
巖,1013,1,5,,,,,02757,M08649,046
川,1014,1,2,,,,,02762,M08673,047
巣,1015,1,3,,,,,02771,M08696,047
左,1016,1,2,,,,,02774,M08720,048
已,1017,1,4,,,,,02783,M08743,049
布,1018,1,4,,,,,02800,M08778,050
帝,1019,1,15,,,,,02820,M08865,050
帥,1020,0,,,,,,02828,M08886,050
師,1021,1,8,,,,,02835,M08916,050
帶,1022,1,3,,,,,02846,M08950,050
常,1023,1,2,,,,,02847,M08955,050
平,1024,1,4,,,,,02899,M09167,051
幸,1025,1,2,,,,,02903,M09176,051
幽,1026,1,6,,,,,02912,M09205,052
度,1027,1,3,,,,,02944,M09313,053
庭,1028,1,3,,,,,02952,M09337,053
廉,1029,1,2,,,,,02973,M09436,053
廓,1030,1,4,,,,,02980,M09461,053
延,1031,1,5,,,,,03005,M09569,054
弧,1032,1,2,,,,,03056,M09757,057
張,1033,1,2,,,,,03065,M09812,057
彌,1034,1,2,,,,,03084,M09877,057
彫,1035,1,2,,,,,03111,M09995,059
彭,1036,1,4,,,,,03113,M10003,059
彼,1037,1,6,,,,,03124,M10066,060
往,1038,2,2,2,,,,03128,M10073,060
征,1039,1,2,,,,,03129,M10077,060
後,1040,1,5,,,,,03138,M10098,060
得,1041,1,5,,,,,03145,M10137,060
御,1042,1,3,,,,,03153,M10157,060
徨,1043,1,2,,,,,03158,M10178,060
復,1044,1,3,,,,,03159,M10183,060
徳,1045,1,6,,,,,03172,M10243,060
必,1046,1,4,,,,,03180,M10299,061
忽,1047,3,3,1,1,,,03219,M10405,061
思,1048,1,3,,,,,03239,M10462,061
恐,1049,1,6,,,,,03272,M10552,061
惟,1050,1,4,,,,,03365,M10820,061
惠,1051,1,6,,,,,03366,M10822,061
意,1052,1,2,,,,,03395,M10921,061
愍,1053,1,2,,,,,03402,M10919,061
感,1054,1,3,,,,,03409,M10953,061
慶,1055,1,3,,,,,03474,M11145,061
懿,1056,1,3,,,,,03594,M11501,061
應,1057,1,2,,,,,03550,M11330,061
戎,1058,1,2,,,,,03607,M11539,062
成,1059,1,9,,,,,03610,M11544,062
或,1060,1,4,,,,,03617,M11563,062
戲,1061,1,2,,,,,03636,M11681,062
所,1062,1,15,,,,,03647,M11715,063
投,1063,1,2,,,,,03708,M11887,064
折,1064,1,3,,,,,03711,M11890,064
03723,1065,1,2,,,,,03723,M11922,064
招,1066,1,5,,,,,03758,M11968,064
振,1067,1,4,,,,,03799,M12093,064
掃,1068,1,2,,,,,03851,M12237,064
排,1069,1,2,,,,,03862,M12256,064
推,1070,1,2,,,,,03880,M12284,064
搖,1071,1,3,,,,,03947,M12479,064
04051,1072,1,2,,,,,04051,M12712,064
撃,1073,1,3,,,,,04087,M12800,064
據,1074,1,2,,,,,04106,M12839,064
擧,1075,1,4,,,,,09632,M12863,134
攅,1076,1,2,,,,,04203,M13030,064
故,1077,1,4,,,,,04243,M13161,066
文,1078,2,5,2,,,,04321,M13450,067
方,1079,1,13,,,,,04385,M13620,070
於,1080,1,48,,,,,04389,M13628,070
施,1081,1,6,,,,,04391,M13629,070
旁,1082,1,2,,,,,04394,M13637,070
04395,1083,1,2,,,,,04395,M13638,070
旃,1084,1,2,,,,,04398,M13640,070
旄,1085,1,2,,,,,04399,M13642,070
04421,1086,1,2,,,,,04421,M13685,070
旗,1087,1,4,,,,,04422,M13687,070
既,1088,1,9,,,,,04442,M13724,071
日,1089,1,8,,,,,04446,M13733,072
旭,1090,1,5,,,,,04455,M13747,072
昆,1091,1,8,,,,,04478,M13792,072
明,1092,1,10,,,,,04485,M13805,072
昔,1093,1,4,,,,,04490,M13816,072
星,1094,1,6,,,,,04499,M13837,072
春,1095,1,3,,,,,04503,M13844,072
昭,1096,1,3,,,,,04510,M13855,072
是,1097,1,19,,,,,04512,M13859,072
時,1098,1,7,,,,,04523,M13890,072
景,1099,1,4,,,,,04558,M13983,072
曄,1100,1,2,,,,,04619,M14169,072
曰,1101,1,8,,,,,04650,M14278,073
曲,1102,1,2,,,,,04651,M14280,073
曼,1103,1,2,,,,,04660,M14298,073
曾,1104,1,4,,,,,04661,M14299,073
會,1105,1,2,,,,,04667,M14306,073
月,1106,1,9,,,,,04673,M14330,074
望,1107,1,5,,,,,04693,M14368,074
有,1108,1,10,,,,,04674,M14332,074
服,1109,1,3,,,,,04679,M14345,074
木,1110,1,5,,,,,04707,M14415,075
未,1111,1,4,,,,,04711,M14419,075
朱,1112,1,3,,,,,04717,M14424,075
東,1113,1,16,,,,,04765,M14499,075
杳,1114,1,2,,,,,04767,M14501,075
林,1115,1,7,,,,,04803,M14551,075
柴,1116,1,2,,,,,04884,M14664,075
桂,1117,1,2,,,,,04929,M14755,075
桑,1118,1,3,,,,,04941,M14772,075
梁,1119,1,5,,,,,04967,M14825,075
條,1120,1,3,,,,,04984,M14859,075
梢,1121,1,2,,,,,04988,M14866,075
棄,1122,1,3,,,,,05014,M14913,075
棍,1123,1,3,,,,,05021,M14924,075
棘,1124,1,2,,,,,05031,M14938,075
棠,1125,1,3,,,,,05039,M14953,075
椒,1126,1,4,,,,,05087,M15029,075
椽,1127,1,2,,,,,05107,M15087,075
楊,1128,1,9,,,,,05123,M15112,075
楚,1129,1,3,,,,,05134,M15141,075
業,1130,1,2,,,,,05152,M15170,075
榛,1131,1,2,,,,,05190,M15240,075
榮,1132,1,5,,,,,05210,M15273,075
樹,1133,1,3,,,,,05323,M15496,075
横,1134,1,3,,,,,05381,M15594,075
欲,1135,1,3,,,,,05580,M16080,076
欽,1136,1,3,,,,,05589,M16104,076
此,1137,1,2,,,,,05644,M16259,077
正,1138,2,3,3,,,,05643,M16255,077
武,1139,1,5,,,,,05649,M16273,077
歴,1140,1,9,,,,,05670,M16340,077
歸,1141,1,3,,,,,05676,M16349,077
殊,1142,1,2,,,,,05717,M16451,078
殫,1143,1,2,,,,,05770,M16581,078
殷,1144,1,5,,,,,05795,M16627,079
殿,1145,1,2,,,,,05809,M16651,079
比,1146,1,3,,,,,05841,M16743,081
氏,1147,1,5,,,,,05932,M17026,083
氣,1148,1,2,,,,,05947,M17059,084
水,1149,1,6,,,,,05952,M17083,085
汎,1150,1,2,,,,,05971,M17120,085
江,1151,1,7,,,,,05985,M17140,085
池,1152,1,4,,,,,05986,M17141,085
05991,1153,1,2,,,,,05991,M17153,085
決,1154,1,2,,,,,06003,M17174,085
汾,1155,1,4,,,,,06005,M17178,085
06013,1156,1,2,,,,,06013,M17188,085
沛,1157,1,2,,,,,06034,M17216,085
河,1158,1,7,,,,,06045,M17245,085
沼,1159,1,3,,,,,06053,M17257,085
泉,1160,1,9,,,,,06063,M17274,085
法,1161,1,2,,,,,06074,M17290,085
波,1162,1,4,,,,,06086,M17308,085
泰,1163,1,11,,,,,06098,M17325,085
洞,1164,1,2,,,,,06125,M17386,085
洪,1165,1,7,,,,,06134,M17402,085
洶,1166,1,2,,,,,06142,M17417,085
流,1167,2,17,1,,,,06151,M17431,085
浮,1168,1,6,,,,,06175,M17487,085
海,1169,1,4,,,,,06182,M17503,085
湧,1170,1,2,,,,,06374,M17862,085
06244,1171,1,2,,,,,06244,M17627,085
06273,1172,1,5,,,,,06273,M17670,085
淫,1173,1,4,,,,,06277,M17678,085
深,1174,1,2,,,,,06285,M17687,085
清,1175,1,11,,,,,06290,M17695,085
渭,1176,1,3,,,,,06331,M17781,085
游,1177,1,3,,,,,06340,M17792,085
湘,1178,1,4,,,,,06364,M17842,085
湯,1179,1,2,,,,,06381,M17874,085
溢,1180,1,3,,,,,06408,M17951,085
漢,1181,1,4,,,,,06499,M18153,085
溶,1182,1,2,,,,,06419,M17983,085
漫,1183,1,4,,,,,06506,M18166,085
潭,1184,1,2,,,,,06545,M18271,085
潛,1185,1,3,,,,,06548,M18240,085
澄,1186,1,2,,,,,06564,M18315,085
澤,1187,1,3,,,,,06603,M18383,085
濤,1188,2,1,1,,,,06645,M18508,085
瀕,1189,1,3,,,,,06697,M18636,085
06754,1190,1,2,,,,,06754,M18779,085
火,1191,1,2,,,,,06776,M18850,086
炎,1192,1,2,,,,,06801,M18910,086
06804,1193,1,2,,,,,06804,M18921,086
烈,1194,1,3,,,,,06831,M18987,086
焉,1195,1,4,,,,,06861,M19076,086
然,1196,1,8,,,,,06885,M19149,086
熊,1197,1,2,,,,,06939,M19294,086
06947,1198,1,2,,,,,06947,M19325,086
燎,1199,1,2,,,,,06976,M19414,086
燭,1200,1,4,,,,,06991,M19480,086
燿,1201,1,5,,,,,07001,M19520,086
爲,1202,1,25,,,,,07032,M19686,087
物,1203,1,3,,,,,07080,M19959,093
07172,1204,1,4,,,,,07172,M20469,094
猶,1205,1,2,,,,,07203,M20557,094
獨,1206,1,4,,,,,07230,M20725,094
玄,1207,1,12,,,,,07256,M20814,095
玉,1208,1,10,,,,,07261,M20821,096
王,1209,1,10,,,,,07262,M20823,096
珍,1210,1,5,,,,,07287,M20920,096
珠,1211,1,2,,,,,07291,M20956,096
07368,1212,1,3,,,,,07368,M21203,096
甘,1213,1,8,,,,,07456,M21643,099
生,1214,1,3,,,,,07461,M21670,100
田,1215,1,3,,,,,07478,M21723,102
男,1216,1,2,,,,,07483,M21730,102
畤,1217,1,2,,,,,07521,M21837,102
疾,1218,1,2,,,,,07591,M22112,104
登,1219,1,10,,,,,07706,M22668,105
發,1220,1,7,,,,,07707,M22669,105
白,1221,1,3,,,,,07709,M22678,106
百,1222,1,7,,,,,07710,M22679,106
皇,1223,1,20,,,,,07718,M22701,106
皋,1224,1,2,,,,,07721,M22714,106
盛,1225,1,2,,,,,07770,M23005,108
盡,1226,1,2,,,,,07779,M23029,108
盧,1227,1,2,,,,,07785,M23050,108
盪,1228,1,2,,,,,07786,M23062,108
目,1229,1,5,,,,,07790,M23105,109
相,1230,1,10,,,,,07801,M23151,109
眇,1231,1,3,,,,,07811,M23188,109
眉,1232,1,2,,,,,07813,M23190,109
眩,1233,1,2,,,,,07832,M23254,109
瞰,1234,1,2,,,,,07902,M23704,109
知,1235,1,3,,,,,07941,M23935,111
石,1236,1,3,,,,,07954,M24024,112
08052,1237,1,3,,,,,08052,M24407,112
神,1238,1,25,,,,,08124,M24673,113
祭,1239,1,2,,,,,08135,M24700,113
禁,1240,1,2,,,,,08143,M24743,113
禮,1241,1,2,,,,,08165,M24844,113
禹,1242,1,2,,,,,08172,M24885,114
禽,1243,1,2,,,,,08176,M24893,114
秋,1244,1,3,,,,,08187,M24940,115
移,1245,1,2,,,,,08212,M25045,115
稱,1246,1,3,,,,,08248,M25180,115
穀,1247,0,,,,,,08261,M25221,115
穰,1248,1,2,,,,,08289,M25383,115
穴,1249,1,2,,,,,08291,M25406,116
窮,1250,1,7,,,,,08329,M25593,116
窺,1251,1,2,,,,,08337,M25633,116
立,1252,1,3,,,,,08354,M25721,117
竝,1253,1,2,,,,,08361,M25752,117
章,1254,1,4,,,,,08366,M25761,117
精,1255,1,3,,,,,08685,M26997,119
紅,1256,1,2,,,,,08739,M27243,120
純,1257,1,2,,,,,08753,M27277,120
紛,1258,1,11,,,,,08760,M27295,120
素,1259,1,3,,,,,08765,M27300,120
紫,1260,1,2,,,,,08773,M27337,120
終,1261,1,2,,,,,08795,M27372,120
絶,1262,1,2,,,,,08809,M27407,120
08814,1263,1,2,,,,,08814,M27419,120
統,1264,1,3,,,,,08833,M27447,120
總,1265,1,4,,,,,08993,M27844,120
繹,1266,1,2,,,,,09042,M27975,120
繽,1267,1,2,,,,,09049,M27999,120
09062,1268,1,13,,,,,09062,M28039,120
罕,1269,1,2,,,,,09106,M28217,122
罘,1270,1,2,,,,,09108,M28224,122
羅,1271,1,5,,,,,09144,M28397,122
羨,1272,1,3,,,,,09176,M28503,123
羽,1273,1,5,,,,,09195,M28614,124
